,iso3,year,ideal
3243,HUN,1996,1.536398
3244,HUN,1997,1.418992
3245,HUN,1998,1.349842
3246,HUN,1999,1.352516
3247,HUN,2000,1.272817
3248,HUN,2001,1.250188
3249,HUN,2002,1.215874
3250,HUN,2003,1.157388
3251,HUN,2004,1.031671
3252,HUN,2005,1.053932
3253,HUN,2006,1.020658
3254,HUN,2007,1.09083
3255,HUN,2008,0.9933354
3256,HUN,2009,1.047169
3257,HUN,2010,1.041788
3258,HUN,2011,0.9173053
3259,HUN,2012,1.034085
3260,HUN,2013,1.089047
3261,HUN,2014,1.11044
3262,HUN,2015,1.15481
3263,HUN,2016,1.221434
3264,HUN,2017,1.109055
3265,HUN,2018,1.338037
3266,HUN,2019,1.208662
3267,HUN,2020,1.243709
3268,HUN,2021,1.180296
3269,HUN,2022,1.444391
3270,CSK,1946,-0.4247167
3271,CSK,1947,-1.268596
3272,CSK,1948,-2.326166
3273,CSK,1949,-2.659413
3274,CSK,1950,-2.858508
3275,CSK,1951,-2.794507
3276,CSK,1952,-2.731297
3277,CSK,1953,-2.681405
3278,CSK,1954,-2.721006
3279,CSK,1955,-2.984078
3280,CSK,1956,-2.787976
3281,CSK,1957,-2.639279
3282,CSK,1958,-2.77644
3283,CSK,1959,-2.750768
3284,CSK,1960,-2.336508
3285,CSK,1961,-2.304416
3286,CSK,1962,-2.283827
3287,CSK,1963,-2.747194
3288,CSK,1965,-2.358512
3289,CSK,1966,-2.145676
3290,CSK,1967,-1.599746
3291,CSK,1968,-1.765935
3292,CSK,1969,-1.564929
3293,CSK,1970,-2.444211
3294,CSK,1971,-2.450734
3295,CSK,1972,-2.099049
3296,CSK,1973,-2.171321
3297,CSK,1974,-2.095277
3298,CSK,1975,-2.372374
3299,CSK,1976,-2.013941
3300,CSK,1977,-2.400089
3301,CSK,1978,-2.340952
3302,CSK,1979,-2.265753
3303,CSK,1980,-2.122862
3304,CSK,1981,-2.03154
3305,CSK,1982,-1.927659
3306,CSK,1983,-1.916188
3307,CSK,1984,-1.358053
3308,CSK,1985,-1.531902
3309,CSK,1986,-1.279535
3310,CSK,1987,-1.0047
3311,CSK,1988,-0.7944611
3312,CSK,1989,-0.6987491
3313,CSK,1990,1.150691
3314,CSK,1991,1.3706
3315,CSK,1992,1.404495
3316,CZE,1993,1.519948
3317,CZE,1994,1.50716
3318,CZE,1995,1.247125
3319,CZE,1996,1.445033
3320,CZE,1997,1.489027
3321,CZE,1998,1.244241
3322,CZE,1999,1.140576
3323,CZE,2000,1.194048
3324,CZE,2001,1.184013
3325,CZE,2002,1.111852
3326,CZE,2003,1.205197
3327,CZE,2004,1.044958
3328,CZE,2005,1.025031
3329,CZE,2006,1.117344
3330,CZE,2007,1.125077
3331,CZE,2008,1.064602
3332,CZE,2009,1.15518
3333,CZE,2010,1.10859
3334,CZE,2011,1.041462
3335,CZE,2012,1.170935
3336,CZE,2013,1.180953
3337,CZE,2014,1.125526
3338,CZE,2015,1.238106
3339,CZE,2016,1.275125
3340,CZE,2017,1.232961
3341,CZE,2018,1.262539
3342,CZE,2019,1.23442
3343,CZE,2020,1.352419
3344,CZE,2021,1.30858
3345,CZE,2022,1.437218
3346,SVK,1993,1.368375
3347,SVK,1994,1.484708
3348,SVK,1995,1.257265
3349,SVK,1996,1.390617
3350,SVK,1997,1.394236
3351,SVK,1998,1.24049
3352,SVK,1999,1.136187
3353,SVK,2000,1.125147
3354,SVK,2001,1.047552
3355,SVK,2002,1.051457
3356,SVK,2003,1.062007
3357,SVK,2004,0.9902716
3358,SVK,2005,0.9790893
3359,SVK,2006,1.005607
3360,SVK,2007,1.035676
3361,SVK,2008,0.9672198
3362,SVK,2009,1.07024
3363,SVK,2010,1.032362
3364,SVK,2011,1.028501
3365,SVK,2012,1.030065
3366,SVK,2013,1.010515
3367,SVK,2014,1.016049
3368,SVK,2015,1.071828
3369,SVK,2016,1.138404
3370,SVK,2017,1.04647
3371,SVK,2018,1.08241
3372,SVK,2019,1.109934
3373,SVK,2020,1.173627
3374,SVK,2021,1.190383
3375,SVK,2022,1.305009
3376,ITA,1956,1.636931
3377,ITA,1957,1.787571
3378,ITA,1958,1.568378
3379,ITA,1959,1.701242
3380,ITA,1960,1.268184
3381,ITA,1961,1.571697
3382,ITA,1962,1.619861
